,0
156,"34D'Angelo Russell, PGMinnesota Timberwolves$28,649,250"
157,"36Otto Porter Jr., SFChicago Bulls$28,489,237"
158,"38Giannis Antetokounmpo, PFMilwaukee Bucks$27,528,090"
159,"40Al Horford, COklahoma City Thunder$27,500,000"
160,"1Stephen Curry, PGGolden State Warriors$43,006,362"
161,"3Chris Paul, PGPhoenix Suns$41,358,814"
162,"5John Wall, PGHouston Rockets$41,254,920"
163,"7LeBron James, SFLos Angeles Lakers$39,219,565"
164,"9Paul George, SGLA Clippers$35,450,412"
165,"11Mike Conley, PGUtah Jazz$34,502,130"
166,"13Kawhi Leonard, SFLA Clippers$34,379,100"
167,"15Tobias Harris, PFPhiladelphia 76ers$34,358,850"
168,"17Anthony Davis, PFLos Angeles Lakers$32,742,000"
169,"19Damian Lillard, PGPortland Trail Blazers$31,626,953"
170,"21Pascal Siakam, PFToronto Raptors$30,559,200"
171,"23Kyle Lowry, PGToronto Raptors$30,500,000"
172,"25Joel Embiid, CPhiladelphia 76ers$29,542,010"
173,"27Nikola Jokic, CDenver Nuggets$29,542,010"
174,"29Karl-Anthony Towns, CMinnesota Timberwolves$29,467,800"
175,"31CJ McCollum, SGPortland Trail Blazers$29,354,152"
176,"33Andre Drummond, CCleveland Cavaliers$28,751,775"
177,"35Gordon Hayward, SFCharlotte Hornets$28,500,000"
178,"37DeMar DeRozan, SFSan Antonio Spurs$27,739,975"
179,"39Rudy Gobert, CUtah Jazz$27,525,281"
180,"2Russell Westbrook, PGWashington Wizards$41,358,814"
181,"4James Harden, SGBrooklyn Nets$41,254,920"
182,"6Kevin Durant, PFBrooklyn Nets$40,108,950"
183,"8Blake Griffin, PFDetroit Pistons$36,810,996"
184,"10Klay Thompson, SGGolden State Warriors$35,361,360"
185,"12Jimmy Butler, SFMiami Heat$34,379,100"
186,"14Kemba Walker, PGBoston Celtics$34,379,100"
187,"16Khris Middleton, SFMilwaukee Bucks$33,051,724"
188,"18Kyrie Irving, PGBrooklyn Nets$31,742,000"
189,"20Kevin Love, PFCleveland Cavaliers$31,258,256"
190,"22Ben Simmons, PGPhiladelphia 76ers$30,559,200"
191,"24Steven Adams, CNew Orleans Pelicans$29,592,696"
192,"26Andrew Wiggins, SFGolden State Warriors$29,542,010"
193,"28Devin Booker, SGPhoenix Suns$29,467,800"
194,"30Kristaps Porzingis, CDallas Mavericks$29,467,800"
195,"32Bradley Beal, SGWashington Wizards$28,751,775"
196,"34D'Angelo Russell, PGMinnesota Timberwolves$28,649,250"
197,"36Otto Porter Jr., SFChicago Bulls$28,489,237"
198,"38Giannis Antetokounmpo, PFMilwaukee Bucks$27,528,090"
199,"40Al Horford, COklahoma City Thunder$27,500,000"
200,"1Stephen Curry, PGGolden State Warriors$43,006,362"
201,"3Chris Paul, PGPhoenix Suns$41,358,814"
202,"5John Wall, PGHouston Rockets$41,254,920"
203,"7LeBron James, SFLos Angeles Lakers$39,219,565"
204,"9Paul George, SGLA Clippers$35,450,412"
205,"11Mike Conley, PGUtah Jazz$34,502,130"
206,"13Kawhi Leonard, SFLA Clippers$34,379,100"
207,"15Tobias Harris, PFPhiladelphia 76ers$34,358,850"
208,"17Anthony Davis, PFLos Angeles Lakers$32,742,000"
209,"19Damian Lillard, PGPortland Trail Blazers$31,626,953"
210,"21Pascal Siakam, PFToronto Raptors$30,559,200"
211,"23Kyle Lowry, PGToronto Raptors$30,500,000"
212,"25Joel Embiid, CPhiladelphia 76ers$29,542,010"
213,"27Nikola Jokic, CDenver Nuggets$29,542,010"
214,"29Karl-Anthony Towns, CMinnesota Timberwolves$29,467,800"
215,"31CJ McCollum, SGPortland Trail Blazers$29,354,152"
216,"33Andre Drummond, CCleveland Cavaliers$28,751,775"
217,"35Gordon Hayward, SFCharlotte Hornets$28,500,000"
218,"37DeMar DeRozan, SFSan Antonio Spurs$27,739,975"
219,"39Rudy Gobert, CUtah Jazz$27,525,281"
